timestamp,capture_ms,inference_ms,postprocess_ms,loop_ms,fps,num_detections,max_score
1773329567.3382154,32.969,16.429,0.017,68.950,14.50,0,0.000
1773329567.4016676,30.261,14.871,0.014,62.510,16.00,0,0.000
1773329567.4697437,32.331,14.849,0.014,67.115,14.90,0,0.000
1773329567.535123,31.025,15.129,0.016,64.459,15.51,0,0.000
1773329567.6014316,33.103,15.662,0.016,65.274,15.32,0,0.000
1773329567.6687186,32.299,14.711,0.014,66.461,15.05,0,0.000
1773329567.7357507,31.474,15.231,0.015,66.002,15.15,0,0.000
1773329567.8018894,31.067,14.758,0.013,65.222,15.33,0,0.000
1773329567.8682997,31.616,14.917,0.014,65.427,15.28,0,0.000
1773329567.9348946,31.811,15.027,0.016,65.755,15.21,0,0.000
1773329568.0013158,31.999,14.833,0.015,65.373,15.30,0,0.000
1773329568.0682526,32.124,14.987,0.016,66.116,15.13,0,0.000
1773329568.1361108,31.937,14.813,0.013,66.804,14.97,0,0.000
1773329568.2014604,31.680,14.771,0.013,64.526,15.50,0,0.000
1773329568.2679713,31.915,15.082,0.014,65.511,15.26,0,0.000
1773329568.3350232,31.978,14.639,0.014,66.155,15.12,0,0.000
1773329568.4012358,31.635,14.641,0.012,65.258,15.32,0,0.000
1773329568.4679136,32.039,14.861,0.012,65.846,15.19,0,0.000
1773329568.5348802,32.312,15.369,0.014,65.966,15.16,0,0.000
1773329568.6012797,31.679,14.686,0.012,65.572,15.25,0,0.000
1773329568.672235,32.082,15.223,0.013,69.959,14.29,0,0.000
1773329568.7342777,28.525,15.479,0.010,61.157,16.35,0,0.000
1773329568.8013797,32.067,14.658,0.012,65.985,15.15,0,0.000
1773329568.8698583,31.444,14.914,0.013,67.529,14.81,0,0.000
1773329568.934453,31.159,14.828,0.011,63.447,15.76,0,0.000
1773329569.001039,31.602,15.259,0.015,65.364,15.30,0,0.000
1773329569.067484,32.008,14.697,0.012,65.339,15.30,0,0.000
1773329569.1341023,32.139,15.326,0.019,65.683,15.22,0,0.000
1773329569.2008967,32.201,15.959,0.014,65.822,15.19,0,0.000
1773329569.2674985,31.838,14.680,0.014,65.635,15.24,0,0.000
1773329569.334065,31.779,14.731,0.014,65.312,15.31,0,0.000
1773329569.4006805,32.904,14.624,0.015,65.618,15.24,0,0.000
1773329569.4684455,32.509,14.702,0.014,66.733,14.99,0,0.000
1773329569.5340188,30.844,14.674,0.015,64.607,15.48,0,0.000
1773329569.600811,31.987,14.710,0.013,65.777,15.20,0,0.000
1773329569.6671827,31.798,14.605,0.012,65.447,15.28,0,0.000
1773329569.7338831,32.271,15.239,0.013,65.746,15.21,0,0.000
1773329569.800636,32.502,16.050,0.013,65.907,15.17,0,0.000
1773329569.8679495,32.500,15.003,0.016,66.289,15.09,0,0.000
1773329569.9338331,31.320,14.819,0.015,65.059,15.37,0,0.000
1773329570.000659,32.325,15.683,0.015,65.861,15.18,0,0.000
1773329570.068039,31.837,14.893,0.014,66.495,15.04,0,0.000
1773329570.1340508,31.108,14.711,0.016,64.894,15.41,0,0.000
1773329570.202149,31.437,14.158,0.011,67.113,14.90,0,0.000
1773329570.2666378,30.041,14.569,0.012,63.433,15.76,0,0.000
1773329570.3334088,32.210,15.286,0.014,65.951,15.16,0,0.000
